"ModulesID","Parent","IsParent","Status","MenuOrder","viewName","Name","Link"
"656","655","1","0","1","Create","Create Branch","/Branch/Create"
"657","655","0","0","2","List","Branch List","/Branch/Index"
"658","657","1","0","100","Edit","Edit Branch","/Branch/Edit"
"659","657","1","0","100","Delete","Delete Branch","/Branch/Delete"
"599","660","0","0","1","Payroll Units","PayrollUnits","/Hr/PayrollUnit"
"603","660","0","0","2","AttendanceType","AttendanceType","/Hr/AttendanceType"
"607","660","0","0","4","Employee Grade ","EmployeeGrade List","/Hr/EmployeeGrade"
"611","660","0","0","6","Work Shift","WorkShift List","/Hr/WorkShift"
"615","660","0","0","3","Payhead","Payhead","#"
"662","661","1","0","1","Pay Slip","PaySlip","/Hr/PayrollReport/PaySlip"
"663","661","1","0","2","Pay Sheet","PaySheet","/Hr/PayrollReport/PaySheet"
"664","661","1","0","3","Payroll Statement","PayrollStatement","/Hr/PayrollReport/PayrollStatement"
"665","661","1","0","4","Payment Advice","PaymentAdvice","/Hr/PayrollReport/PaymentAdvice"
"666","661","1","0","5","Payroll Register","PayrollRegister","/Hr/PayrollReport/PayrollRegister"
"667","661","1","0","6","Employee Pay Head Breakup","EmpPayHeadBreakup","/Hr/PayrollReport/EmpPayHeadBreakup"
"668","661","1","0","7","Pay Head Employee Breakup","PayHeadEmpBreakup","/Hr/PayrollReport/PayHeadEmpBreakup"
"670","669","1","0","1","Create","Create FinalSettlement","/Hr/FinalSettlement/Create"
"671","669","1","0","3","Edit FinalSettlement","Edit FinalSettlement","/Hr/FinalSettlement/Edit"
"672","669","1","0","2","List","FinalSettlement List","/Hr/FinalSettlement/Index"
"673","669","1","0","4","Delete","Delete FinalSettlement","/Hr/FinalSettlement/Delete"
"1001","1000","1","0","2","DashBoard","Dashboard1","/Leads/dashboard"
"1002","1000","0","0","3","Master","Master","#"
"1021","1000","0","0","22","Transaction","Transaction1","#"
"1032","1000","0","0","33","Report","Report","#"
"1033","1000","0","0","34","Configuration","Configuration1","#"
"234343442","1000","1","0","10","Customer Credit Limit Visibile","Customer Credit Limit Visibile","@"
"107","1002","1","0","100","Edit Customer","Edit Customer","/Customer/Edit"
"108","1002","1","0","100","Delete Customer","Delete Customer","/Customer/Delete"
"109","1002","1","0","100","View Customer","View Customer","/Customer/ViewDetails"
"414","1002","1","0","100","All Customers","All Customers","#"
"414","1002","1","0","101","State / Emirates","StateEmirates","/State/Index"
"1003","1002","0","0","4","Customer","CustomerParent","#"
"1006","1002","0","0","-2","Contact"," Contact","#"
"1011","1002","1","0","12","Contact Type","Contact Type","/ContactType/Index"
"1013","1002","1","0","14","Location","Location","/Location/Index"
"1014","1002","1","0","15","Leads Type","Leads Type","/LeadType/Index"
"1017","1002","1","0","18","Lead Level","Lead Level","/LeadLevel/Index"
"1018","1002","1","0","19","Lead Condition","Lead Condition","/LeadCondition/Index"
"1019","1002","1","0","20","Rejection","Reason For Rejection","/LeadRejection/Index"
"1182","1002","0","0","5","Lead Status","LeadStatus","/LeadStatus/Index"
"1183","1002","1","0","100","Create","Create LeadStatus","/LeadStatus/Create"
"1184","1002","1","0","100","Edit","Edit LeadStatus","/LeadStatus/Edit"
"1185","1002","1","0","100","Delete","Delete LeadStatus","/LeadStatus/Delete"
"1186","1002","0","0","6","Source Of Lead","SourceOfLead List","/SourceOfLead/Index"
"1187","1002","1","0","100","Create","Create SourceOfLead","/SourceOfLead/Create"
"1188","1002","1","0","100","Edit","Edit SourceOfLead","/SourceOfLead/Edit"
"1189","1002","1","0","100","Delete","Delete SourceOfLead","/SourceOfLead/Delete"
"1189","1002","0","0","4","Contact Group","Contact Group List","/ContactGroup/Index"
"1315","1002","0","0","6","Team","Task Team List","/Team/Index"
"3000","1002","1","0","102","Document Type","documenttype","/property/DocumentType"
"6058","1002","1","0","1","Quotation Type","Quotation Type","/QuotationType/Index"
"234343589","1002","1","0","-1","Service Type","Service Type","/ServiceType/Index"
"1005","1003","1","0","6","List","Customer","/Customer/Index"
